"Solid5500_2014_06_06_1_L03.1.Idx_1.1.count" "Solid5500_2014_06_06_1_L03.1.Idx_2.2.count" "Solid5500_2014_06_06_1_L03.1.Idx_3.3.count" "Solid5500_2014_06_06_1_L03.1.Idx_4.4.count" "Solid5500_2014_06_06_1_L04.1.Idx_5.5.count" "Solid5500_2014_06_06_1_L04.1.Idx_6.6.count" "Solid5500_2014_06_06_1_L04.1.Idx_7.7.count" "Solid5500_2014_06_06_1_L04.1.Idx_8.8.count"
"phaw_30_tra_m.000096" 717 619 2368 2953 76 243 831 1276
"phaw_30_tra_m.000121" 16 69 436 466 4 5 86 211
"phaw_30_tra_m.000652" 722 790 2438 2846 1621 2194 1832 1470
"phaw_30_tra_m.000882" 206 277 44 44 35 43 82 70
"phaw_30_tra_m.000950" 414 381 1676 1834 697 1788 989 872
"phaw_30_tra_m.000952" 18 168 15 14 12 13 5 38
"phaw_30_tra_m.001045" 590 466 171 37 8 14 30 31
"phaw_30_tra_m.001361" 5 21 661 1030 1516 2 523 75
"phaw_30_tra_m.001423" 4 36 133 156 540 1 413 31
"phaw_30_tra_m.001493" 2 3 73 59 236 0 39 2
"phaw_30_tra_m.001568" 93 196 41 19 12 24 30 22
"phaw_30_tra_m.001950" 0 1 41 31 0 2 7 16
"phaw_30_tra_m.001982" 1 2 85 65 1 1 14 26
"phaw_30_tra_m.002043" 1 2 77 85 502 0 20 51
"phaw_30_tra_m.002135" 1 2 43 24 112 0 39 4
"phaw_30_tra_m.002178" 45 45 204 121 133 235 91 100
"phaw_30_tra_m.002271" 14 47 3 1 1 1 3 7
"phaw_30_tra_m.003365" 26 60 183 151 20 72 88 67
"phaw_30_tra_m.003647" 23 15 75 68 58 98 33 53
"phaw_30_tra_m.003676" 5 50 632 1113 917 2 335 17
"phaw_30_tra_m.003677" 4 25 362 763 592 2 195 14
"phaw_30_tra_m.003709" 24 43 145 132 12 29 54 82
"phaw_30_tra_m.003892" 41 43 201 200 12 39 122 210
"phaw_30_tra_m.003928" 153 192 58 29 15 44 41 46
"phaw_30_tra_m.003938" 618 501 186 116 102 279 213 139
"phaw_30_tra_m.003983" 5 9 43 30 0 1 10 78
"phaw_30_tra_m.004303" 13 85 565 714 1421 4 768 90
"phaw_30_tra_m.004344" 227 287 441 1341 144 359 1622 376
"phaw_30_tra_m.004437" 205 190 763 1003 29 87 286 438
"phaw_30_tra_m.004440" 545 676 99 54 0 2 151 148
"phaw_30_tra_m.004779" 200 159 49 35 25 74 35 16
"phaw_30_tra_m.004938" 6 45 267 186 1520 7 841 65
